prompt,response,model,num_tokens_query,num_tokens_prompt
"[{'content': ""Please write a text of 350-400 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: report a protest. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","Yeah, did you hear about the protest yesterday? It was massive, apparently. Like, thousands of people down by the city hall. You know, the one on Elm Street? Yeah, that one. They were protesting the new housing development going up on Oak Avenue. People are saying it's going to displace a lot of families, especially older folks who have lived there for generations. Some say it's gentrification, pushing out the community for more expensive apartments. It was really intense, from what I heard. Chants, signs, the whole nine yards.  My friend went and said the police were there, but they seemed to be keeping their distance, mostly just observing. There were some speeches, too, from local activists and community leaders. Apparently, they're trying to organize a meeting with the mayor to discuss alternative plans. They want to see if there's a way to build the development without displacing so many people. It's a tough situation, you know? Progress is important, but not at the cost of pushing out long-time residents.  I think they're planning another protest next week, bigger this time. They want to get the attention of the city council, get them to listen to the community's concerns. It's good to see people standing up for what they believe in, even if it's tough.

**Summary**


The conversation discusses a protest against a new housing development on Oak Avenue in the city, with the protesters meeting at City Hall on Elm Street and planning another protest to gain the attention of the city council. 

",google/gemma-2-27b-it,326,88
"[{'content': ""Please write a text of 350-400 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: lose a purse. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","Oh my gosh, you won't believe what happened to me. I totally lost my purse. I was at the mall yesterday, just running some errands, and when I got home I realized it was gone. I frantically retraced my steps, checked all the stores I'd been in, but no luck. It's got everything in it, my wallet, my phone, my keys, everything. I'm so frustrated. I called the mall security, but they said they haven't found anything. I even checked with lost and found, nothing. I'm starting to think it's gone for good. I don't know what I'm going to do. I have to cancel my credit cards and get a new driver's license. This is such a hassle. Do you have any advice? Have you ever lost your purse before? I remember you telling me about that time you lost your wallet at the concert. Did you ever find it? Oh, that's right, you said you found it tucked in your car door. I wish it was that easy for me. This is just awful. I feel so disorganized and vulnerable without my purse. Maybe I should report it to the police, just in case. What if someone stole it? I'm so worried about identity theft. I really need to be more careful. I'm thinking about getting one of those crossbody bags that you wear across your body. They seem safer. 

Maybe I'll go back to the mall tomorrow and ask around again. Maybe someone turned it in. I'm holding onto a sliver of hope. Fingers crossed.


**Summary**

A person recounts losing their purse at the mall and discusses the inconvenience and stress it has caused, while seeking advice from a listener who has experience with a similar situation. 

",google/gemma-2-27b-it,375,88
"[{'content': ""Please write a text of 350-400 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: the stock market. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","So, have you been watching the market lately It's been pretty wild, hasn't it I swear it feels like a roller coaster some days, up one minute, down the next.  Yeah, I know what you mean. I was thinking about putting some money in, but I'm so nervous about making the wrong move. My friend Sarah, she's been doing really well with day trading, but I don't know if I have the stomach for that kind of stress. I think she goes to one of those online seminars they have every week, you know, to learn about new strategies and stuff. Maybe I should look into that. You know, get some professional advice. I heard there's a new investment firm opening up downtown, they're supposed to be really good with beginners.  

Maybe we could go check it out together. We could compare notes and see what they say. Plus, it wouldn't hurt to have a second opinion, right. Absolutely. I mean, I'm not looking to get rich quick or anything, just trying to make my money work for me a little bit. I've been reading about index funds, they seem like a pretty safe bet, but I'm not sure how to even start investing in them. It all seems so complicated. There are so many options, it's overwhelming.

Exactly. Maybe that firm downtown could help us figure it out. We could go next week, after work maybe. Sounds like a plan. And hey, if we're lucky, maybe Sarah will give us some tips too. She owes me a lunch anyway. We can pick her brain about all this stuff.


**Summary**

Two people discuss the volatile stock market, considering seeking advice from a friend who is experienced with day trading and potentially visiting a new investment firm downtown for guidance. 

",google/gemma-2-27b-it,382,88
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: fix a pipe. Write a verbatim transcript of 250-300 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","Alright so first things first, we need to figure out what kind of pipe we're dealing with. Is it copper, PVC, galvanized steel? That'll determine what kind of tools and materials we need. Yeah, and where's the leak? Is it under the sink, behind the toilet, or out in the yard somewhere?  Maybe it's just a loose connection, we might not even need to replace anything. If it's a major leak, we might want to call in a professional plumber.

They'll have all the right equipment and expertise to handle it. I've got a guy, Bob, he's really good.  He fixed a leak in my basement last year, did a great job.  I think he's based out of Glendale, might be a bit of a drive depending on where you are. 

But honestly, if it's just a small leak, you could probably tackle it yourself. There are tons of tutorials online, and most hardware stores have everything you need.

You'll want to shut off the water supply first, obviously. Then you'll need to drain the pipes, that'll make it easier to work on. 

Once you've got everything dry, you can start to assess the damage. If it's just a loose connection, you can tighten it up with a wrench. If there's a hole, you'll need to patch it with epoxy or replace the section of pipe altogether.

It's not rocket science, just takes a bit of patience and the right tools.

**Summary**

A group of people discuss the best way to fix a leaky pipe, considering different materials, leak locations, and the possibility of calling a professional plumber named Bob from Glendale. 



",google/gemma-2-27b-it,368,96
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: package delivery. Write a verbatim transcript of 350-400 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","...you know, the whole drone delivery thing is really starting to take off. There are even companies now that specialize in it, not just Amazon anymore. I read an article about a startup in California that's using drones to deliver groceries to rural communities.

It's amazing how technology is changing everything. Remember when we used to have to wait weeks for packages to arrive? Now it's like, next-day or even same-day delivery is standard.

I still prefer going to the store myself, though. I like to pick out my own produce and see what's fresh. Plus, I don't trust those self-driving trucks.

Have you seen those videos online where they malfunction? It's scary stuff. I'd rather stick to human drivers, at least for now.

Speaking of drivers, I had a terrible experience with a delivery guy last week. He left my package at the wrong address again. This is the third time it's happened with the same company.

I called customer service, but they were no help. They just said they'd investigate.

Honestly, it's just frustrating. I don't understand why they can't get it right. I'm thinking about switching to a different delivery service.

Maybe one of those subscription boxes, you know, where they deliver curated items to your door every month.

There are so many options these days, it's overwhelming.

I've been meaning to try that meal kit service, Blue Apron.

They deliver all the ingredients pre-portioned and ready to cook.

It sounds like a good way to save time and avoid grocery shopping.

Plus, they have lots of different meal options, so there's something for everyone.

I might have to give it a try.

Maybe we should all get together and do a Blue Apron night.

We could each order a different meal and compare notes.

That sounds like fun.

...

**Summary:**

A group discusses the evolution of package delivery, highlighting the rise of drone delivery, self-driving trucks, and subscription boxes while expressing concerns about delivery service reliability and sharing ideas for meal kit services like Blue Apron. 



",google/gemma-2-27b-it,459,95
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: the psychic. Write a verbatim transcript of 350-400 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","There's a new psychic in town, Madame Evangeline, they say she's the real deal. Apparently, she's set up shop in that old bookstore on Elm Street, the one that closed down last year. I heard she can talk to the dead, tell your future, the whole nine yards.  My cousin went to see her last week, she swears Evangeline knew things she couldn't possibly know. Said she even saw her grandmother who passed away five years ago. My cousin was a skeptic too, but now she's a believer.

I don't know, it all seems a bit far-fetched to me. There are always people looking to make a quick buck off the gullible. Remember that fake medium who came through town a few years back, the one who claimed to be channeling Elvis? Turned out he was just a con artist.

Maybe, but this is different. My cousin wouldn't lie about something like this. She's always been very practical, very grounded. She said Evangeline was different, there was a real sense of peace about her, like she was truly gifted.  

I guess I could be persuaded to check it out. I've always been curious about these things, but I'm not sure I believe in it all.

It's worth a shot, isn't it?  What's the harm in getting a reading? It could be fun, even if you don't believe in it.

You know, I heard she's booked solid for weeks. Apparently, word of mouth is spreading fast.

Well, if she's that good, maybe she'll be worth the wait.

I wonder what she'd say about my love life.

Or my career.


**Summary**

A group of people discuss the arrival of a new psychic named Madame Evangeline, who has set up shop in a former bookstore on Elm Street and is gaining popularity due to her supposed abilities and a testimonial from one of their own.



",google/gemma-2-27b-it,419,95
"[{'content': ""Please write a text of 250-300 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: fitness training. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","So I've been thinking about finally joining that gym downtown, you know, the one with the pool and all the fancy equipment. I hear they have some great personal trainers too, though I'm not sure if I'm ready to commit to that yet. Maybe I should just start with some group classes, see how I like it. What do you think? Have you ever tried that Zumba class they offer? I heard it's a lot of fun.  You're right, I should probably ease into it. I haven't exercised regularly in ages. Remember back in college, we used to run together all the time? We were in such good shape then. I miss those days. I haven't been on a run since I moved here, actually. Maybe we could start doing that again, go for a run in the park on weekends. That sounds fun, and it's free. Plus, it'd be nice to catch up. We could even invite Sarah, she mentioned wanting to get back into running too. Yeah, that's a great idea. Maybe we can all meet up this Saturday morning, say around 9 am? Perfect. I'll text Sarah and see what she thinks.


**Summary**

Three friends discuss joining a gym downtown, taking Zumba classes, and planning to go running together in the park with Sarah on Saturday morning. 

",google/gemma-2-27b-it,286,87
"[{'content': ""Please write a text of 250-300 words that could pass as a transcription of an everyday conversation between two or more people on the topic of: poor Biggie. Do not indicate speaker turns and do not use quotation marks. Just write the transcription as on long text. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","Man, it's crazy to think about how much Biggie could have accomplished if he was still around. You know, he was only 24 when he died. That's insane. He had so much potential, so much talent. I remember seeing him perform live back in '95, it was electric. The whole crowd was going wild, he had everyone hypnotized. It was unreal. I still listen to his music all the time, it just never gets old. Ready to Die is a classic, without a doubt. Did you hear about that documentary they're making about him? They're finally gonna tell his story properly. It's about time, because there's so much more to Biggie than just the Notorious B.I.G. persona. He was a complex guy, you know. He had a lot of pain and struggle in his life, but he turned it into art. It's sad he didn't get to see his daughter grow up, though. He would have been an amazing dad. I wonder what he'd be doing now if he was still alive. Probably still making music, maybe even acting. He had that charisma, you know. People were drawn to him. It's a real loss for hip hop, and for the world.

**Summary**

The conversation discusses the lasting impact of the late rapper Notorious B.I.G., reminiscing about his performances, music, and the upcoming documentary about his life. 



",google/gemma-2-27b-it,310,88
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: training. Write a verbatim transcript of 250-300 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","...training program is just not hitting the mark. It's too theoretical, doesn't offer enough hands-on experience. They need to learn by doing, not just listening to lectures. Remember what happened with the new marketing team last year? They went through the same program and were completely lost when they had to actually implement a campaign. We need something more practical, maybe some sort of mentorship program where they can shadow experienced employees. And definitely more workshops, not just these generic online modules. We should be investing in our employees, making sure they feel supported and equipped to succeed. You know, maybe we could even bring in some external trainers, experts in their fields. There's a company I heard about, Catalyst, they do really innovative training programs. They even tailor them to the specific needs of your organization.

It's worth looking into, at least. We can't afford to keep losing talented people because they feel unprepared for their roles. And the onboarding process, it's just too rushed. New hires are thrown in the deep end without enough support. Maybe we should have a buddy system, someone to guide them through the first few weeks. We need to create a culture of continuous learning here, where employees feel encouraged to develop their skills. This isn't just about ticking boxes, it's about investing in the future of our company.

**Summary**

The group discussed the need for a more practical and effective training program at their company, mentioning past failures, suggesting external trainers like Catalyst, and proposing improvements such as mentorship, workshops, and a revised onboarding process.



",google/gemma-2-27b-it,326,94
"[{'content': ""Imagine you walked into a room where a group of people were in the middle of having a conversation on the topic of: travel. Write a verbatim transcript of 350-400 words of what they said. Do not indicate speaker turns. Do not state who's speaking. Do not use quotation marks. Then, under the headline '**Summary**' write one sentence that summarizes the transcription, emphasizing any meetings, persons or places mentioned in the conversation."", 'role': 'user'}]","I've always said, if you can travel anywhere in the world, you have to go to Japan. The culture is so unique, the food is amazing, and the people are incredibly polite. Plus, the scenery is breathtaking. I went hiking in the Japanese Alps last year, and it was like something out of a fairytale.

Oh, you've been to Japan? I'd love to hear about it. I'm planning a trip there next spring. Any tips?

Definitely check out Kyoto. It's a beautiful ancient city with so many temples and shrines. And the cherry blossoms in spring are spectacular.

I hear the bullet trains are incredible.

They really are. So fast and efficient. It's the best way to travel around the country.

Speaking of trains, I took the Trans-Siberian Railway a few years ago, and it was an unforgettable experience. It's such a long journey, but it's amazing to see all the different landscapes and cultures you pass through.

That sounds incredible. How long did it take you?

About two weeks. It was quite a commitment, but worth it.

I've always wanted to do something like that, maybe the Orient Express? That would be so glamorous.

It would be! I think it's a bit pricey, though.

Well, traveling doesn't have to be expensive. I backpacked through Southeast Asia for a few months last year, and it was one of the most amazing experiences of my life.

Southeast Asia is on my list too. Did you go to Thailand?

I did. It was incredible. The beaches are beautiful, the food is delicious, and the people are so friendly.

You know, I've always wanted to go to South America. I'm fascinated by the Inca Trail and Machu Picchu.

It's incredible. I hiked it a few years ago. The scenery is breathtaking, and the history is fascinating.

I'd love to go there someday. It's definitely on my bucket list.

Well, wherever you decide to go, just make sure to embrace the culture, try new things, and make the most of it.

That's great advice. Thanks everyone, this has been so inspiring.

**Summary**

The group discussed their travel experiences and aspirations, mentioning destinations such as Japan, Kyoto, the Japanese Alps, the Trans-Siberian Railway, Southeast Asia, Thailand, South America, the Inca Trail, and Machu Picchu. 



",google/gemma-2-27b-it,519,94
